"Rank","Name","Density (km²)","Density (mi²)"
174,"Venezuela",35.333512649422495,13.642282876224902
173,"Faroe Islands",35.52692031586504,13.716957650913145
172,"DR Congo",35.825192399710346,13.832120617648783
171,"Turks and Caicos Islands",37.93565400843882,14.646970659628888
170,"Mozambique",38.08514702029716,14.704689969226703
169,"Djibouti",41.871034482758624,16.166422580215684
168,"Zimbabwe",43.28332185987712,16.71170728180584
167,"Colombia",43.32364322074574,16.727275374805306
166,"Liberia",43.58049367418222,16.82644543404719
165,"Lithuania",44.050153139356816,17.0077811348868
164,"Eritrea",44.115204081632655,17.032897328815697
163,"Madagascar",44.73760776504537,17.273207631291648
162,"Belarus",45.53040944123315,17.579308664568785
161,"Montenegro",45.55596582681726,17.58917599491014
160,"Equatorial Guinea",46.83947096360201,18.08473782378456
159,"South Africa",47.00792932564696,18.149779662411955
158,"Palau",47.85185185185186,18.475618475618482
157,"Nicaragua",48.20597056138924,18.612343846096234
156,"Iran",49.75851461750582,19.211781705600703
155,"Fiji",49.92562390542908,19.276302666188833
154,"Montserrat",51.00980392156862,19.694904989022632
153,"Cameroon",51.905877057559074,20.040879172802732
152,"Guinea-Bissau",52.79634602076124,20.384689583305498
151,"Guinea",53.09024351553952,20.49816351951333
150,"Yemen",54.76711467361658,21.145604121087484
149,"Panama",55.19469085219512,21.310691448723986
148,"Afghanistan",55.76740720298054,21.53181745288824
147,"Georgia",56.056398852223815,21.643397240240855
146,"Ecuador",60.91375554921417,23.51882453637613
145,"Tanzania",62.52481729195301,24.14085609727916
144,"Bulgaria",63.46420873204124,24.503555494996622
143,"Tajikistan",63.642285115303984,24.572310855329725
142,"Mexico",66.56523016226537,25.700861066511724
141,"Ireland",68.35837377086506,26.393194506125507
140,"Bosnia and Herzegovina",68.41676267843543,26.415738485882407
139,"French Polynesia",68.60067194624432,26.486745925190856
138,"Samoa",69.56192821956368,26.857887343460884
137,"Tunisia",71.26198887598558,27.514281419299454
136,"Uzbekistan",72.34017881090746,27.93057096946234
135,"Burkina Faso",72.35911666978059,27.937882884085173
134,"Ukraine",72.92330405965204,28.15571585314751
133,"Croatia",73.59053963317665,28.41333576570527
132,"Cook Islands",73.77542372881355,28.4847195864145
131,"Lesotho",74.55147422170977,28.784352981355124
130,"Brunei",75.29505637467476,29.071450337712264
129,"Ivory Coast",77.23628137181629,29.82095805861633
128,"Myanmar",79.60018652690451,30.733662751700585
127,"Swaziland",80.13044229440221,30.938394708263406
126,"Morocco",81.04759825327511,31.2925089780985
125,"Macedonia",81.08937113522343,31.30863750394727
124,"Romania",82.13663267489125,31.7129855887611
123,"Wallis and Futuna",82.27464788732394,31.76627331556909
122,"Senegal",82.82891593212757,31.98027642167088
121,"Honduras",83.71410411407034,32.322047920490476
120,"Greece",84.41670581104628,32.593322706967676
119,"Kenya",87.79079272253591,33.896058966230086
118,"Timor-Leste",89.02070727443862,34.3709294495902
117,"Cambodia",89.73805617698235,34.64789813783103
116,"Iraq",89.75183029633804,34.65321633063245
115,"Spain",91.69601890938989,35.40386830478374
114,"Malaysia",96.8626584402197,37.39870982247865
113,"Costa Rica",96.93148727984347,37.425284664032226
112,"Ethiopia",97.37832291949651,37.59780807702568
111,"Armenia",98.65016978784924,38.088868643957234
110,"Syria",98.73856247974943,38.12299709642836
109,"Dominica",98.94540612516644,38.20285950778627
108,"Egypt",99.13286547957505,38.275237636901565
107,"Serbia",99.16170029764262,38.28637077129059
106,"Benin",101.98428371010992,39.37617131664476
105,"Albania",102.07190065395854,39.410000252493646
104,"Slovenia",102.66166822867855,39.63770974080253
103,"Hungary",104.14979361052586,40.21227552529956
102,"Austria",104.34858294285272,40.2890281632636
101,"Turkey",104.54421092396007,40.364560202301185
100,"Cuba",104.55645953915038,40.36928939735536
99,"Sierra Leone",107.60703930861445,41.54711942417546
98,"Tokelau",109.91666666666667,42.43886743886744
97,"Jordan",110.8527008573795,42.80027060130483
96,"Slovakia",111.13681505801742,42.90996720386773
95,"Portugal",111.75150396351395,43.147298827611564
94,"United Arab Emirates",114.13415071770335,44.06723965934493
93,"Azerbaijan",114.59484988452655,44.24511578553149
92,"France",118.24154831927059,45.65310745917784
91,"Northern Mariana Islands",118.95258620689654,45.92763946212222
90,"Moldova",119.39564498020445,46.09870462556157
89,"Poland",121.8656577512401,47.052377510131315
88,"Ghana",123.5201963669597,47.69119550847865
87,"Cyprus",128.53583396389578,49.627735121195286
86,"Denmark",133.53032904812736,51.55611160159358
85,"Czech Republic",134.72706523806505,52.018171906588826
84,"Thailand",134.8284475366386,52.05731565121182
83,"Cape Verde",137.2018348623853,52.973681414048386
82,"Indonesia",140.08155125910375,54.085541026680986
81,"Togo",140.72247952804437,54.333003678781616
80,"China",145.77641014525557,56.28432824141142
79,"Tonga",145.9277108433735,56.34274549937201
78,"Kiribati",146.0098643649815,56.374465005784366
77,"Isle of Man",148.30594405594405,57.26098226098226
76,"Micronesia",151.32051282051282,58.42490842490843
75,"Guatemala",158.37546492299498,61.14882815559652
74,"Malawi",161.74950204246986,62.4515451901428
73,"Andorra",164.42948717948718,63.486288486288494
72,"Anguilla",165.32967032967034,63.83384954813527
71,"Uganda",183.2770151107431,70.76332629758421
70,"Italy",196.76032402368122,75.9692370747804
69,"Nepal",201.27621771831963,77.71282537386858
68,"Gambia",202.42913275329778,78.15796631401459
67,"Switzerland",206.95751380680167,79.90637598718212
66,"British Virgin Islands",210.05960264900662,81.10409368687515
65,"Seychelles",210.69690265486724,81.35015546519972
64,"Nigeria",212.0394265659776,81.86850446562842
63,"North Korea",212.46969420431734,82.03463096691789
62,"Saint Kitts and Nevis",213.98467432950193,82.61956537818608
61,"Sao Tome and Principe",216.61618257261406,83.63559172687802
60,"Dominican Republic",223.60329559696743,86.33331876330789
59,"Pakistan",227.70278440479322,87.91613297482364
58,"Luxembourg",228.27571539056459,88.13734184963884
57,"Germany",230.44029917617343,88.97308848500904
56,"Qatar",232.5952874158467,89.8051302763887
55,"Antigua and Barbuda",233.1447963800905,90.01729589964884
54,"Kuwait",235.55550566842518,90.94807168665065
53,"Cayman Islands",236.16666666666666,91.18404118404119
52,"Liechtenstein",238.46875,92.07287644787645
51,"Jamaica",263.73187153125286,101.82697742519416
50,"Trinidad and Tobago",267.56296296296296,103.30616330616331
49,"United Kingdom",274.0778262659531,105.82155454283904
48,"Guadeloupe",275.90479115479116,106.52694639181126
47,"American Samoa",279.7939698492462,108.02855978735374
46,"Saint Vincent and the Grenadines",283.2904884318766,109.37856696211453
45,"Vietnam",291.32744586548796,112.48163933030423
44,"Saint Lucia",291.6672077922078,112.61282154139299
43,"Marshall Islands",293.7403314917127,113.41325540220569
42,"Guam",301.8542805100182,116.54605425097229
41,"United States Virgin Islands",302.3458213256484,116.7358383496712
40,"El Salvador",304.7173613421416,117.65149086569174
39,"Philippines",311.1176884677512,120.12265964005837
38,"Grenada",314.9389534883721,121.598051539912
37,"Sri Lanka",319.31170553269317,123.28637279254563
36,"Japan",336.5314529145609,129.93492390523588
35,"Martinique",341.36968085106383,131.80296557956135
34,"Reunion",351.7510951812027,135.81123366069602
33,"Curacao",363.9121621621622,140.50662631743714
32,"Belgium",376.654841457023,145.4265797131363
31,"Haiti",400.4664864864865,154.62026505269748
30,"Burundi",402.9765754113674,155.5894113557403
29,"Israel",406.97356764564273,157.13265160063426
28,"Netherlands",408.2308004778973,157.61806968258583
27,"India",411.86761548733267,159.0222453619045
26,"Puerto Rico",412.5148816234498,159.27215506696905
25,"Tuvalu",434.11538461538464,167.61211761211763
24,"Comoros",447.01772287862514,172.59371539715258
23,"Rwanda",474.64332903029845,183.25997259857084
22,"South Korea",510.57214848817483,197.13210366338797
21,"Nauru",538.6666666666667,207.97940797940802
20,"San Marino",550.1147540983605,212.39951895689597
19,"Lebanon",582.9993302717183,225.096266514177
18,"Aruba",587.0555555555555,226.66237666237666
17,"Mauritius",621.7230392156863,240.047505488682
16,"Taiwan",654.6594369076894,252.76426135432024
15,"Barbados",666.0186046511628,257.1500404058544
14,"Mayotte",694.336898395722,268.08374455433284
13,"Palestine",812.3434083601286,313.64610361394926
12,"Bangladesh",1127.3846242461204,435.2836387050658
11,"Bermuda",1130.9259259259259,436.65093665093667
10,"Sint Maarten",1192.7058823529412,460.5042016806723
9,"Malta",1367.370253164557,527.9421826890182
8,"Maldives",1480.8633333333332,571.7619047619047
7,"Vatican City",1820.4545454545453,702.8782028782028
6,"Bahrain",2048.356862745098,790.871375577258
5,"Gibraltar",5788.833333333335,2235.070785070786
4,"Hong Kong",6729.064311594203,2598.0943288008507
3,"Singapore",8157.607042253521,3149.6552286693136
2,"Monaco",19255.940594059404,7434.726098092435
1,"Macau",21080.6,8139.2277992278
